Device_Name,Type
360 Camera_selfdata,Camera
Allure Speaker_Mon(uk),Speaker
Amazon Echo Gen1_Mon(uk),Speaker
Amazon Echo Gen1_Mon(us),Speaker
Amazon Echo Gen1_Our,Speaker
Amazon Echo Gen1_Our2,Speaker
Amazon Echo Gen1_UNSW,Speaker
Amazon Echo Gen1_YT,Speaker
Amazon Echo Gen2_Mon(uk),Speaker
Amazon Echo Gen2_Mon(us),Speaker
Amazon Echo Gen2_Our,Speaker
Amazon Echo Gen3_Mon(uk),Speaker
Amazon Echo Gen3_Mon(us),Speaker
Amazon Echo Look_Our,Camera
Amazon Echo Look_Our2,Camera
Amazon Echodot3a_IoTLS,Speaker
Amazon Fire TV_IoTLS,TV
Amazon Fire TV_Mon(uk),TV
Amazon Fire TV_Mon(us),TV
Amazon Fire TV_YT,TV
Amazon T-echodot_IoTLS,Speaker
Amcrest Camera_IoTLS,Camera
Amcrest Camera_Mon(us),Camera
Amcrest Camera_Our2,Camera
Apple home Pod_IoTLS,Speaker
Apple Home Pod_YT,Speaker
Apple TV(4thGen)_YT,TV
Apple TV_IoTLS,TV
Apple TV_Mon(uk),TV
Apple TV_Mon(us),TV
Aqara Camera_selfdata,Camera
Aqara Hub_selfdata,Hub
Aqara Light_selfdata,Light
Aqara Plug_selfdata,Plug
Aria_IoT-Sentinel,Glasses
August Doorbell Camera_YT,Doorbell
Belkin Net Camera_YT,Camera
Belkin WeMo Crock Pot_YT,Cooker
Belkin WeMo Link_YT,Hub
Belkin WeMo Motion Sensor_UNSW,Sensor
Belkin WeMo Motion Sensor_YT,Sensor
Belkin Wemo switch_UNSW,Switch
Belkin WeMo Switch_YT,Switch
Blink Camera_Mon(uk),Camera
Blink Camera_Mon(us),Camera
Blink Hub_IoTLS,Hub
Blink Hub_Mon(uk),Hub
Blink Hub_Mon(us),Hub
Blipcare Blood Pressure Meter_UNSW,BloodPressure
Bolian Hub_selfdata,Hub
Bose Sound Touch10_YT,Speaker
Bosiwo Camera Wired_Mon(uk),Camera
Bull Plug_selfdata,Plug
Canary_YT,Camera
Caseta Wireless Hub_YT,Hub
Chamberlain myq Garage Opener_YT,Dooropener
